rowid,YEAR,GoogleKnowlege_Occupation,Show,Group,Raw_Guest_List
1,1999,actor,1/11/99,Acting,Michael J. Fox
2,1999,Comedian,1/12/99,Comedy,Sandra Bernhard
3,1999,television actress,1/13/99,Acting,Tracey Ullman
4,1999,film actress,1/14/99,Acting,Gillian Anderson
5,1999,actor,1/18/99,Acting,David Alan Grier
6,1999,actor,1/19/99,Acting,William Baldwin
7,1999,Singer-lyricist,1/20/99,Musician,Michael Stipe
8,1999,model,1/21/99,Media,Carmen Electra
9,1999,actor,1/25/99,Acting,Matthew Lillard
10,1999,stand-up comedian,1/26/99,Comedy,David Cross
11,1999,actress,1/27/99,Acting,Yasmine Bleeth
12,1999,actor,1/28/99,Acting,D. L. Hughley
13,1999,television actress,10/18/99,Acting,Rebecca Gayheart
14,1999,Comedian,10/19/99,Comedy,Steven Wright
15,1999,actress,10/20/99,Acting,Amy Brenneman
16,1999,actress,10/21/99,Acting,Melissa Gilbert
17,1999,actress,10/25/99,Acting,Cathy Moriarty
18,1999,comedian,10/26/99,Comedy,Louie Anderson
19,1999,actress,10/27/99,Acting,Sarah Michelle Gellar
20,1999,Singer-songwriter,10/28/99,Musician,Melanie C
21,1999,actor,10/4/99,Acting,Greg Proops
22,1999,television personality,10/5/99,Media,Maury Povich
23,1999,actress,10/6/99,Acting,Brooke Shields
24,1999,Comic,10/7/99,Comedy,Molly Shannon
25,1999,actor,11/1/99,Acting,Chris O'Donnell
26,1999,actress,11/15/99,Acting,Christina Ricci
27,1999,Singer-songwriter,11/16/99,Musician,Tori Amos
28,1999,actress,11/17/99,Acting,Yasmine Bleeth
29,1999,comedian,11/18/99,Comedy,Bill Maher
30,1999,actress,11/2/99,Acting,Jennifer Love Hewitt
31,1999,rock band,11/29/99,Musician,Goo Goo Dolls
32,1999,musician,11/3/99,Musician,Dave Grohl
33,1999,Film actor,11/30/99,Acting,Stephen Rea
34,1999,Model,11/4/99,Media,Roshumba Williams
35,1999,television actress,11/8/99,Acting,Kellie Martin
36,1999,actress,11/9/99,Acting,Kathy Griffin
37,1999,actress,12/1/99,Acting,Laura San Giacomo
38,1999,journalist,12/13/99,Media,Joan Lunden
39,1999,actress,12/14/99,Acting,Shannen Doherty
40,1999,,12/15/99,,Greatest Millennium Special
41,1999,comedian,12/16/99,Comedy,George Carlin
42,1999,actor,12/2/99,Acting,Michael Boatman
43,1999,actor,12/20/99,Acting,David Boreanaz
44,1999,singer-songwriter,12/21/99,Musician,Jewel
45,1999,actor,12/6/99,Acting,Paul Rudd
46,1999,us senator,12/7/99,Politician,"Senator Bob Dole, part 1"
47,1999,us senator,12/8/99,Politician,"Senator Bob Dole, part 2"
48,1999,actor,12/9/99,Acting,Rob Schneider
49,1999,comedian,2/1/99,Comedy,George Carlin
50,1999,actress,2/10/99,Acting,"Pamela Anderson, Natalie Raitano, Molly Culver"
51,1999,actress,2/10/99,Acting,"Pamela Anderson, Natalie Raitano, Molly Culver"
52,1999,actress,2/10/99,Acting,"Pamela Anderson, Natalie Raitano, Molly Culver"
53,1999,film actor,2/11/99,Acting,Daniel Stern
54,1999,actress,2/16/99,Acting,Melina Kanakaredes
